,name,slider,flags,opposites,introduce,cancel,raise,lower,department,prereqs,mincost,maxcost,costfunction,cost multiplier,implementation,minincome,maxincome,incomefunction,incomemultiplier,nationalisation GDP percentage,,,,,,,,,,,,,,,,,,
#,DroneStrikeAct,dronestrikes,,,34,12,8,8,FOREIGNPOLICY,,25,500,0+(1.0*x),,3,0,0,0+(1.0*x),,,#Effects,"Liberal,-0.15-(0.15*x)","Conservatives,0.08+(0.1*x)","Patriot,0+(0.25*x)","_Terrorism,0-(0.2*x),6","ForeignRelations,-0.08-(0.12*x)",,,,,,,,,,,,
#,DrugEnforcement,default,,,6,12,4,5,LAWANDORDER,,5,20,0+(1.0*x),"Narcotics,1.0-(0.95*x)",2,0,0,0+(1.0*x),,,#Effects,"DrugAddiction,-0.01-(0.03*x),2","ViolentCrimeRate,-0.01*(x^0.8)-0.02,4","Organised Crime,-0.01-(0.03*x),4",,,,,,,,,,,,,,
#,DrugTreatment,default,,,8,8,4,5,PUBLICSERVICES,,4,22,0+(1.0*x),"_default_,0.25;DrugAddiction,0+(0.75*x)",2,0,0,0+(1.0*x),,,#Effects,"DrugAddiction,-0.01-(0.06*x),2","Health,0.02+(0.02*x),4",,,,,,,,,,,,,,,
#,EcoHomeRegulations,default,,,10,10,6,6,ECONOMY,,7.5,30,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Capitalist,0-(0.04*x)","Environmentalist,0+(0.03*x)","CO2Emissions,0-(0.05*x)","Environmentalist_freq,0+(0.04*x),24","EnergyEfficiency,0.05+(0.15*x)",,,,,,,,,,,,
#,ElectricCarsInitiative,electriccars,,,9,14,4,4,TRANSPORT,,250,975,0+(1.0*x),"_default_,0.2;CarUsage,0+(0.8*x)",12,0,0,0+(1.0*x),,,#Effects,"OilDemand,-0.04-(0.2*x)*CarUsage,12","Motorist,0.01+(0.03*x)","ElectricCarTransition,0+(0.15*x),8","Environmentalist_income,0+(0.03*x),4","Environment,0.03+(0.12*x)*CarUsage,16","Environmentalist_freq,0+(0.05*x),8",,,,,,,,,,,
#,EmptyHomesTax,default,,BanSecondHomeOwnership,16,11,6,6,TAX,,0.5,0.5,0+(1.0*x),,1,50,350,0+(1.0*x),"Equality,1.0-(0.4*x)",,#Effects,"Socialist,0.00+(0.04*x)","Young,0.00+(0.04*x)","Retired,-0.01-(0.06*x)","Homelessness,-0.01-(0.08*x),4","Capitalist,-0.02-(0.04*x)","Farmers,0.02+(0.02*x)","Wealthy,0-(0.04*x)","_global_socialism,0+(0.07*x),4",,,,,,,,,
#,EnterpriseInvestmentScheme,default,,,7,10,7,7,TAX,,30,500,0+(1.0*x),"GDP,0.25+(0.75*x)",1,0,0,0+(1.0*x),,,#Effects,"SelfEmployed,0.10+(0.2*x)","GDP,0.01+(0.03*x),16","Capitalist,0+(0.05*x)","_global_socialism,-0.04-(0.06*x),12","SelfEmployed_freq,0.02+(0.06*x),4","SelfEmployed_income,0.01+(0.06*x)","_HighIncome,0+(0.09*x)",,,,,,,,,,
#,ExecutiveTermLength,termlength,UNCANCELLABLE,,0,0,70,35,PUBLICSERVICES,,0,0,0+(1.0*x),,0,0,0,0+(1.0*x),,,#Effects,"Democracy,0.2-(x^2)*0.4,2","Liberal,0.1-(x^2)*0.2",,,,,,,,,,,,,,,
#,ExecutiveTermLimit,termlimit,UNCANCELLABLE,,0,0,68,30,PUBLICSERVICES,,0,0,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Democracy,0.1-(x^2)*0.2,2","Liberal,0.1-(x^2)*0.2",,,,,,,,,,,,,,,
#,FaithSchoolSubsidies,default,,,45,36,33,25,PUBLICSERVICES,,45,290,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Religious,0.13+(0.10*x)","Education,0.03+(0.04*x),12","Religious_freq,0.02+(0.35*x),30","RacialTension,0.1+(0.17*x)","Religious_income,0+(0.06*x)","_global_liberalism,-0.11*(x^3)-,1",,,,,,,,,,,
#,FamilyPlanning,default,,,5,10,2,6,WELFARE,,9.25,105,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"GenderEquality,0.1+(0.15*x),4","Health,0+(0.08*x),8","Education,0+(0.04*x),12","HIVAIDS,0-(0.2*x),32","Liberal,0+(0.1*x)","Religious,0-(0.15*x)","Conservatives,0-(0.1*x)","Parents_freq,-0.05-(0.15*x)","_global_liberalism,0.02+(0.04*x)","Population,0-(0.06*x),24",,,,,,,
#,FemaleGenitalMutilationBan,fgmban,,,5,50,6,37,WELFARE,,0.75,3.25,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Conservatives,-0.03-(0.03*x)","Liberal,0.05+(0.05*x)","GenderEquality,0.05+(0.02*x),4","Religious,-0.12*(x^1.25)",,,,,,,,,,,,,
#,FinancialTransactionsTax,default,MULTIPLYINCOME,,22,9,9,9,TAX,,1,1,0+(1.0*x),,1,14,700,0+(1.0*x),"GDP,0.5+(0.5*x)",,#Effects,"Socialist,0+(0.05*x)","Capitalist,-0.02-(0.08*x)","Wealthy,0-(0.23*x)","GDP,-0.07*(x^3),6","_HighIncome,0-(0.02*x)","_global_socialism,0+(0.01*x)",,,,,,,,,,,
#,Flagsoneverystreetcorner,flagsoncorners,,,16,16,7,7,LAWANDORDER,,2.5,20,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Patriot,0.03+(x*0.21)","ForeignRelations,0-(x*0.04)^2,4","Patriot_freq,0.17*(x^2)+0.1,20","RacialTension,0.01+(0.03*x),4","EthnicMinorities,-0.01-(0.02*x),4",,,,,,,,,,,,
#,FlatTax,incometax,MULTIPLYINCOME,IncomeTax,43,13,38,10,TAX,,0,0,0+(1.0*x),,1,575,30866,0+(1.0*x),"GDP,0.5+(0.5*x)",,#Effects,"Socialist,0-(0.25*x)","Capitalist,0-(0.12*x)","Equality,0-(0.3*x),4","MiddleIncome,0-(0.80*x)","Wealthy,-0.2*(x^11)","_LowIncome,0-(0.16*x)","_MiddleIncome,0-(0.14*x)","_HighIncome,0-(0.06*x)","Poor,-0.1-(x^2)*1.2",,,,,,,,
#,FoodStamps,default,,,4,24,4,12,WELFARE,,62.5,2100,0+(1.0*x),"Poor_perc,0+(1.0*x)",1,0,0,0+(1.0*x),,,#Effects,"Health,0.02+(0.08*x)*Poor_perc,8","_LowIncome,0.03+(0.04*x)","Poor,0.04+(0.15*x)","PovertyRate,-0.03-(0.12*x)","Socialist,0.02+0.08*x)","Farmers_income,0+(0.12*x)*Poor_perc","Farmers,0+(0.03*x)","Equality,0.02+(0.08*x)",,,,,,,,,
#,FoodStandards,default,,,7,10,2,2,PUBLICSERVICES,,5.5,16.25,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Farmers,-0.02-(0.08*x)","Liberal,0.01+(0.04*x)","Health,0.01+(0.03*x),12","Obesity,-0.04-(0.06*x),4",,,,,,,,,,,,,
#,Forcepoliticalmilitaryreligiousoath,religiousoath,,,28,16,12,12,PUBLICSERVICES,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Religious,0.06+(x*0.11)","RacialTension,0.05+(x^2)*0.15,4","ForeignRelations,-0.02-(x^2)*0.08,8","Religious_freq,0.02+(x^2)*0.21,16","Liberal,-0.06-(x^6)*0.54,2",,,,,,,,,,,,
#,ForeignAid,default,,,14,16,8,8,FOREIGNPOLICY,,50,622.5,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Socialist,0.02+(0.04*x)","Patriot,-0.02-(0.28*x)","Liberal,0+0.10*x)","ForeignRelations,0+(0.6*x),4","EthnicMinorities,0.02+(0.20*x)",,,,,,,,,,,,
#,ForeignInvestmentRestrictions,default,,,30,10,25,12,FOREIGNPOLICY,,0.25,1.5,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"ForeignInvestment,0-(1*x),4","ForeignRelations,0-(0.2*x),4","Capitalist,0-(0.2*x)","Patriot,0+(0.1*x)",,,,,,,,,,,,,
#,ForeignInvestorTaxBreaks,default,,,10,7,8,1,ECONOMY,,150,1500,0+(1.0*x),"GDP,0.75+(0.25*x)",1,0,0,0+(1.0*x),,,#Effects,"Patriot,-0.1-(0.14*x)","BusinessConfidence,0.05+(0.05*x)","_HighIncome,0.12*(x^2)","ForeignRelations,0.05+(0.05*x),2","ForeignInvestment,0.08+(0.13*x),8",,,,,,,,,,,,
#,FreeBusPasses,default, ,,13,19,3,9,TRANSPORT,,220,800,0+(1.0*x),"Retired_perc,0.05+(0.95*x)",2,0,0,0+(1.0*x),,,#Effects,"Retired,0.01+(0.06*x)","BusUsage,Retired_perc*(0.5*x),4","Retired_income_fixed,250+(2000*x)",,,,,,,,,,,,,,
#,FreeEyeTests,default,,,8,15,7,8,PUBLICSERVICES,,15,30,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Poor,0.05+(0.05*x)","Capitalist,0-(0.05*x)","Socialist,0.01+(0.03*x)","PovertyRate,-0.03-(0.03*x),4","_LowIncome_fixed,50+(200*x)","Retired,0.01+(0.03*x)","Health,0.0+(0.02*x),16",,,,,,,,,,
#,FreeParentingClasses,default,,,3,9,2,2,PUBLICSERVICES,,10,56.25,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Parents,0.05+(0.04*x)","Parents_freq,0+(0.03*x),24","Population,0.02+(0.04*x),24","GenderEquality,0.03+(0.06*x)",,,,,,,,,,,,,
#,FreeSchoolMeals,default,,,10,18,3,4,PUBLICSERVICES,,160,640,0+(1.0*x),"Poor_perc,0.1+(0.9*x)",1,0,0,0+(1.0*x),,,#Effects,"Poor,0.00+(0.05*x)","Health,0.00+(0.07*x),16","Socialist,0.01+(0.03*x)","PovertyRate,-0.03-(0.055*x)","Parents,0.01+(0.03*x)","Parents_freq,0.01+(0.02*x)","_LowIncome_fixed,50+(150*x)","Obesity,0-(0.06*x),16",,,,,,,,,
#,FrequentFlyerTax,default,,,12,12,6,6,TAX,,0.5,0.5,0+(1.0*x),,1,12.5,1250,0+(1.0*x),"AirTravel,0+(1.0*x)",,#Effects,"Socialist,0.00+(0.04*x)","Environmentalist,0.01+(0.06*x)","GDP,0.00-(0.02*x),2","AirTravel,0-(0.2*x),4","Wealthy,0-(0.04*x)",,,,,,,,,,,,
#,FuelEfficiency,default,,,6,15,2,8,TRANSPORT,,5,5.5,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"OilDemand,-0.05-(0.13*x)*CarUsage,24","Motorist_income_fixed,200+(1100*x),24","CarUsage,0.02+(0.06*x),24","Environmentalist,0.02+(0.03*x)","Capitalist,-0.01-(0.02*x)","CO2Emissions,0-(0.07*x),8",,,,,,,,,,,
#,Gambling,gambling,,,27,32,22,16,LAWANDORDER,,0,0,0+(1.0*x),,3,0,0,0+(1.0*x),,,#Effects,"Liberal,0.00+(0.08*x)","Religious,0.00-(0.15*x)","GDP,0.00+(0.04*x),6","Unemployment,0.00-(0.03*x),4","Capitalist,0.01+(0.04*x)","Tourism,0.04*(x^0.8),4",,,,,,,,,,,
#,GameHunting,gamehunting,,,15,5,12,6,LAWANDORDER,,0.25,1.25,0+(1.0*x),,2,2,25,0+(1.0*x),"EndangeredSpecies,0+(1.0*x),4",,#Effects,"Environment,0+(0.05*x),16","Environmentalist,0+(0.05*x)","Poor,0-(0.1*x)","Farmers,0-(0.12*x)","Tourism,0-(0.05*x)",,,,,,,,,,,,
#,GatedCommunities,gatedcommunities,,,13,14,8,4,LAWANDORDER,,0,0,0+(1.0*x),,12,0,0,0+(1.0*x),,,#Effects,"CrimeRate,-0.04*(x^0.75),2","Conservatives,0.00+(0.40*x)","Liberal,0.00-(0.11*x)","Equality,0.00-(0.11*x),8","_global_liberalism,-0.02-(0.11*x),12","Wealthy,0.00+(0.42*x)",,,,,,,,,,,
#,GayMarriage,default,,Banhomosexuality,32,45,14,14,LAWANDORDER,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Religious,-0.15-(0.15*x)","Liberal,0.10+(0.05*x)","Young,0.05+(0.05*x)","_global_liberalism,0+(0.04*x),16","MarriedTaxAllowance_cost,0.07*(x^1.5)",,,,,,,,,,,,
#,GenderDiscriminationAct,genderact,,,5,30,2,25,LAWANDORDER,,0.5,0.5,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Democracy,0.1+(0.1*x),16","GenderEquality,0+(0.3*x),8","Liberal,0.1+(0.1*x)","Conservatives,-0.1-(0.1*x)","_global_liberalism,0.08*(x^3)+0.02,16",,,,,,,,,,,,
#,GenderTransition,gendertransition,,,12,12,10,10,LAWANDORDER,,0.5,2.5,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Religious,-0.06-(0.09*x)","Conservatives,-0.12-(0.14*x)","Liberal,0.10+(0.11*x)","HealthcareDemand,0.02*(x^4)","_global_liberalism,0.1*(x^2)+0.02,4",,,,,,,,,,,,
#,GeneralMediaCensorship,censorship,,,35,12,14,14,LAWANDORDER,,12.5,52.5,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Liberal,-0.23*(x^2)","Conservatives,0+(0.09*x)","_Terrorism,0-(x*0.07),4","Corruption,0.1+(0.17*x)","_global_liberalism,0-(0.07*x),8","_percept_trust,0.05+(0.15*x),2","_percept_strength,0.05+(0.15*x),2","_percept_compassion,0.05+(0.15*x),2",,,,,,,,,
#,GovernmentSubsidiesForUnions,default,,Tradeunionbansatcompanies,19,12,4,9,ECONOMY,,15,87.5,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"TradeUnionist,0+(0.25*x)","Capitalist,0-(0.12*x)","_global_socialism,0.024+(0.058*x),8","TradeUnionist_freq,0+(0.12*x),4","TradeUnionist_income,0+(0.04*x)","Wages,0+(0.04*x),4",,,,,,,,,,,
#,GraduateTax,default,,,24,2,12,0,TAX,,0.5,0.5,0+(1.0*x),,1,150,1950,0+(1.0*x),"Education,0.25+(0.75*x)",,#Effects,"Young,-0.2-(0.1*x)","Capitalist,0.02+(0.01*x)","Socialist,-0.05-(0.02*x)","_MiddleIncome,0-(0.04*x)","Young_income_fixed,-100-(1200*x)","Education,-0.06*(x^2),12",,,,,,,,,,,
#,GreenElectronicsInitiative,default,,,23,18,15,10,ECONOMY,,20,60,0+(1.0*x),"_default_,0.5;Technology,0.5*(x^2)",6,0,0,0+(1.0*x),,,#Effects,"Environmentalist,0.02+(0.012*x)","CO2Emissions,-0.06*(x^0.6),8","EnergyEfficiency,0.+(0.08*x)","Pollution,0-(0.05*x)","Capitalist,0-(0.05*x)",,,,,,,,,,,,
#,HandgunLaws,gunlaws,UNCANCELLABLE,,25,22,22,19,LAWANDORDER,,0,1,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"ViolentCrimeRate,0.16-(0.32*x),4","CrimeRate,-0.1+(0.2*x),6","Liberal,0.00-(0.12*x)","Patriot,0.20-(0.40*x)","Parents,-0.15+(0.30*x)","_global_liberalism,0-(0.05*x),8","_security_,0.08*(x^4),16",,,,,,,,,,
#,HealthcareVouchers,default,,,13,14,8,12,PUBLICSERVICES,,500,9000,0+(1.0*x),"_default_,0.59;Environment,0.2-(0.1*x);Wages,-0.1+(0.2*x);HealthcareDemand,0+(0.4*x)",1,0,0,0+(1.0*x),,,#Effects,"Equality,0.1*(x^3),8","PovertyRate,-0.1*(x*3)","_global_socialism,-0.01-(0.12*x),8","PrivateHealthcare,0+(0.6*x),2","_All__income_fixed,150+(1550*x)","Capitalist,0.02+(0.05*x)",,,,,,,,,,,
#,HealthFoodSubsidies,default,,,3,6,1,1,TAX,,6,55,0+(1.0*x),"Health,0.75+(0.25*x)",1,0,0,0+(1.0*x),,,#Effects,"Health,0.03+(0.06*x),8","FoodPrice,-0.03-(0.05*x)",,,,,,,,,,,,,,,
#,HealthTaxCredits,default,,,20,16,9,9,TAX,,250,2000,0+(1.0*x),"_default_,0.59;Environment,0.2-(0.1*x);Wages,-0.1+(0.2*x);HealthcareDemand,0+(0.4*x)",1,0,0,0+(1.0*x),,,#Effects,"PrivateHealthcare,0+(0.3*x),2","_MiddleIncome,0+(0.08*x)","_HighIncome,0+(0.06*x)","Wealthy,0.02+(0.06*x)","MiddleIncome,0.04+(0.06*x)","Socialist,-0.01-(0.05*x)","Poor,-0.01-(0.05*x)","Capitalist,0.02+(0.04*x)",,,,,,,,,
#,HealthyEatingCampaign,default,,,2,2,1,1,PUBLICSERVICES,,7.5,22.5,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Health,0.01+(0.04*x),4","Obesity,-0.03-(0.05*x),1",,,,,,,,,,,,,,,
#,HelicopterMoney,default,,,8,16,8,8,ECONOMY,_prereq_sovereign_currency,0,0,0+(1.0*x),,0,0,0,0+(1.0*x),,,#Effects,"Inflation,0.78*(x^4),8","Socialist,0.08+(0.08*x)","PovertyRate,-0.08-(0.08*x)","GDP,0.05+(0.06*x),1","Poor,0.12+(0.08*x)","_LowIncome,0.1+(0.05*x)","CurrencyStrength,-0.08*(x^2)",,,,,,,,,,
#,HumanCloningResearchGrants,default,,,20,18,19,8,PUBLICSERVICES,,112.5,1425,0+(1.0*x),,5,0,0,0+(1.0*x),,,#Effects,"Religious,-0.12-0.62*(x^2.2)","Conservatives,-0.12-(0.14*x)","Wealthy,0.1+(0.13*x)","Health,-0.01-(0.02*x),5","Technology,0.02+(0.03*x),12",,,,,,,,,,,,
#,HybridCarsInitiative,default,,,9,14,4,7,TAX,,1.25,50,0+(1.0*x),"CarUsage,0+(1.0*x)",1,0,0,0+(1.0*x),,,#Effects,"OilDemand,-0.02-(0.12*x)*CarUsage,4","Environmentalist,0.01+(0.05*x)","Motorist,0.02+(0.02*x)","CarUsage,0.01+(0.02*x),4","Environmentalist_income,0+(0.05*x)","Environment,0.02+(0.12*x)*CarUsage,8","Environmentalist_freq,0+(0.05*x),8","_HighIncome,0+(0.02*x)",,,,,,,,,
#,IDCards,idcards,,,48,25,44,24,LAWANDORDER,,25,300,0+(1.0*x),,12,0,0,0+(1.0*x),,,#Effects,"Liberal,-0.15-(0.35*x)","CrimeRate,-0.065*(x^0.75),5","ViolentCrimeRate,-0.04*(x^0.7),4","Conservatives,0.10+(0.14*x)","_security_,0+(0.15*x)","Patriot,0.11+(0.07*x)","_global_liberalism,-0.09*(x^2)-0.04,4",,,,,,,,,,
#,ImportTarrifs,default,MULTIPLYINCOME,,13,13,8,8,FOREIGNPOLICY,_prereq_sovereign_currency,0,0,0+(1.0*x),,5,5,165,0+(1.0*x),"GDP,0.25+(0.75*x);InternationalTrade,0+(1.0*x)",,#Effects,"Capitalist,0.10-(0.10*x)","Unemployment,0.00-(0.10*x)","Patriot,0.10+(0.10*x)","ForeignRelations,0-(0.16*x)","InternationalTrade,-0.05-(0.28*x),2",,,,,,,,,,,,
#,IncomeTax,incometax,MULTIPLYINCOME,FlatTax,43,13,36,8,TAX,,0,0,0+(1.0*x),,1,603,32409,0+(1.0*x),"GDP,0.5+(0.5*x);Unemployment,1.0-(0.1*x)",,#Effects,"Socialist,0.112*(x^3)","Capitalist,0-(0.27*x)","Equality,0+(0.3*x),4","MiddleIncome,-1.33*(x^1.37)","Wealthy,0-(x^11)","_LowIncome,-0.03-(x^2)*0.1","_MiddleIncome,0-(0.14*x)","_HighIncome,0-(0.15*x)","GDP,-0.16*(x^5),1",,,,,,,,
#,InheritanceTax,inheritancetax,,,46,19,30,12,TAX,,0,0,0+(1.0*x),,1,115,420.9,0+(1.0*x),,,#Effects,"Wealthy,-0.1-(0.25*x)","Socialist,0+(0.16*x)","Equality,0.1+(0.3*x),24","Conservatives,0-(0.12*x)","MiddleIncome,0-(0.18*x)","_HighIncome,0-(0.07*x)","Retired,0-(0.22*x)","_global_socialism,0+(0.1*x),32",,,,,,,,,
#,IntellectualPropertyRights,default,,,10,20,6,12,LAWANDORDER,,0,0,0+(1.0*x),,8,0,0,0+(1.0*x),,,#Effects,"ForeignRelations,0+(0.05*x),8","ForeignInvestment,0+(0.1*x),8","Technology,0+(0.18*x),16","Poor,0-(0.05*x)","Capitalist,0+(0.05*x)","Young,-0.10*(x^4)","_global_socialism,0.04-(0.05*x),8",,,,,,,,,,
#,IntelligenceServices,intel,UNCANCELLABLE,,13,13,8,9,LAWANDORDER,,225,400,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Liberal,0-(0.18*x)","CrimeRate,-0.051*(x^0.75),6","Patriot,0+(0.05*x)","_Terrorism,0.2-(0.3*x),2","_security_,0+(0.4*x),2",,,,,,,,,,,,
#,InternationalFusionResearchProject,default,,,25,15,26,15,FOREIGNPOLICY,,1075,2175,0+(1.0*x),"_default_,1.0;Technology,-0.1*(x^5);ForeignRelations,0-(0.15*x)",12,0,0,0+(1.0*x),,,#Effects,"Environmentalist,-0.12-(0.1*x)","EnergyEfficiency,0.0+(0.04*x),16","ForeignRelations,0.05+(0.1*x)","Technology,0.03+(0.05*x),12","OilDemand,-0.24*(x^2),16","Unemployment,-0.02-(0.10*x)","PrivateEnergy,0.02+(0.06*x),12",,,,,,,,,,
#,InternetCensorship,internetcensorship,,,27,27,16,12,LAWANDORDER,,62.5,100,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Conservatives,0.10+(0.15*x)","Technology,0.00-(0.13*x),4","Liberal,-0.2-(0.2*x)","Young,-0.08-(0.25*x)","_global_liberalism,-0.05*(x^2)-0.02,2","_security_,0+(0.05*x),2",,,,,,,,,,,
#,InternetCurrencyTaxation,tax,MULTIPLYINCOME,,18,17,16,15,TAX,,0,0,0+(1.0*x),,1,37.5,2000,0+(1.0*x),"GDP,0.5+(0.5*x);TaxEvasion,1.0-(0.2*x);InternetCurrencyAdoption,0.0+(1.0*x)",,#Effects,"Capitalist,0-(0.05*x)","Liberal,-0.1*(x^5)-0.02","Liberal_income,-0.01-(0.02*x)*InternetCurrencyAdoption,4","SelfEmployed_income,-0.02-(0.05*x),4","SelfEmployed,-0.03-(0.04*x)",,,,,,,,,,,,
#,InternetTax,tax,,,28,10,21,4,TAX,,0,0,0+(1.0*x),,1,28.75,1753.75,0+(1.0*x),"GDP,0.2+(0.8*x)",,#Effects,"Technology,-0.11-(0.25*x),4","GDP,0.00-(0.07*x),2","_MiddleIncome,0-(0.02*x)",,,,,,,,,,,,,,
#,JudiciaryIndependence,default,UNCANCELLABLE,,0,0,18,50,LAWANDORDER,,0,0,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Democracy,0.25-(x+1.25)^-3,8","Corruption,0.05-(x^6)*0.15,16","Liberal,-0.15+(0.25*x)","_global_liberalism,0.06*(x^2)-0.02,14",,,,,,,,,,,,,
#,JunkFoodTax,junkfood,,,6,6,4,1,TAX,,1,1.25,0+(1.0*x),,3,96,165,0+(1.0*x),,,#Effects,"Health,0.02+(0.06*x),8","Young,-0.02-(0.04*x)","_All__income_fixed,-5-(25*x)","PovertyRate,0.02+(0.02*x)",,,,,,,,,,,,,
#,JuryTrial,jurytrial,,,18,25,9,12,LAWANDORDER,,26.25,80.5,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Liberal,0+(0.15*x)","Corruption,-0.02-(0.06*x)","_global_liberalism,0.01+(0.03*x),12",,,,,,,,,,,,,,
#,KeepTheCountryTidyCampaign,default,,,2,2,1,1,PUBLICSERVICES,,7.5,22.5,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Environment,0+(0.04*x),8","Environmentalist,0.01+(0.02*x)","Environmentalist_freq,0+(0.05*x),16",,,,,,,,,,,,,,
#,LaborDayBankHoliday,default,,,3,14,6,6,ECONOMY,,0,0,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"GDP,-0-(0.02*x),4","_global_socialism,0.02+(0.02*x),8","Socialist,0.02+(0.03*x)","TradeUnionist,0.04+(0.04*x)","TradeUnionist_freq,0.03+(0.02*x)","WorkingWeek,-0.02-(0.02*x),4",,,,,,,,,,,
#,LabourLaws,labourlaws,UNCANCELLABLE,,45,45,32,24,ECONOMY,,25,40,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Socialist,-0.05+(0.1*x)","TradeUnionist,-0.14+(0.28*x)","WorkingWeek,0.37-(0.56*x)","Capitalist,0.05-(0.1*x)","WorkerProductivity,0.05-(0.10*x)","TradeUnionist_freq,-0.10+(0.20*x),8","_global_socialism,-0.10+(0.20*x),8","Wages,-0.12+0.24*x)",,,,,,,,,
#,LegalAid,default,,,13,13,8,10,LAWANDORDER,,2.5,100,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Liberal,0.05+(0.05*x)","Poor,0.01+(0.02*x)","Socialist,0.01+(0.02*x)","Equality,0.02+(0.04*x)","_LowIncome,0+(0.04*x)",,,,,,,,,,,,
#,LegaliseProstitution,default,,,25,25,14,9,LAWANDORDER,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Conservatives,-0.30-(0.10*x)","GDP,0.02+(0.01*x),2","Liberal,0.05+(0.03*x)","Parents,-0.08-(0.02*x)","Religious,-0.33-(0.07*x)","_global_liberalism,0.05*(x^2)+0.03,2","CrimeRate,-0.01-(0.01*x),2","Organised Crime,-0.03-(0.08*x),2","Capitalist,0.01+(0.01*x)","SelfEmployed_freq,0.01+(0.01*x)","GenderEquality,0.05+(0.05*x)","Tourism,0.01*(x^2),4",,,,,
#,LimitAutomatedTrading,automatedtrading,,,26,20,16,13,ECONOMY,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Capitalist,-0.23*(x^1.22)","Wealthy,-0.02-(0.08*x)","_HighIncome,-0.07*(x^0.67),4","Liberal,-0.01-(0.04*x)","GDP,-0.01-(0.03*x)",,,,,,,,,,,,
#,Limitorbancarsincities,cityban,,,40,10,18,18,TRANSPORT,,3,6.5,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"CarUsage,-0.05-(x^2)*0.2,9","Motorist,-0.1-(x^2)*0.25","Environmentalist,0.02+(x^2)*0.11","Motorist_freq,-0.04-(x^2)*0.22,8","Environment,0.05+(x^2)*0.15*CarUsage,7","BusUsage,0.05+(x^2)*0.31,9",,,,,,,,,,,
#,LuxuryGoodsTax,luxtax,MULTIPLYINCOME,,14,8,8,3,TAX,,0,0,0+(1.0*x),,1,28.75,2034.35,0+(1.0*x),"Wealthy_perc,0+(1.0*x)",,#Effects,"Wealthy,-0.29*(x^1.5)","Socialist,0+(0.18*x)","Capitalist,0-(0.08*x)","Equality,0.05+(0.2*x),4","_HighIncome,0-(0.18*x)",,,,,,,,,,,,
#,MandatoryMicrochipImplant,default,,RightToPrivacy,50,23,44,21,LAWANDORDER,,50,475,0+(1.0*x),,18,0,0,0+(1.0*x),,,#Effects,"Liberal,-0.17-(0.22*x)","CrimeRate,0.00-(0.15*x),2","ViolentCrimeRate,-0.36*(x^0.8),2","Conservatives,0.15+(0.07*x)","Patriot,0.11+(0.07*x)","Religious,-0.05-(0.03*x)","_global_liberalism,-0.18*(x^2)-0.10,16","_security_,0+(0.22*x)",,,,,,,,,
#,Mandatorymicrogeneration,default,,,34,15,8,8,ECONOMY,,0.5,1,0+(1.0*x),,8,0,0,0+(1.0*x),,,#Effects,"Environmentalist,0.03+(x*0.1)","OilDemand,-0.02-(x*0.08)","CO2Emissions,-0.01-(x*0.06)","Environmentalist_freq,0.08+(x*0.12),12","Capitalist,-0.05-(0.09*x)","Environment,0.02+(0.04*x)",,,,,,,,,,,
